source_id,title_as_cited,url,accessed,publisher
S218,run 34026819417,https://github.com/anomalyco/opentui/actions/runs/34026819417,2026-09-13,anomalyco/opentui
S219,db3137a3,https://github.com/anomalyco/opentui/commit/db3137a35aed5c958194364acee3841e7ba12f91,2026-09-13,anomalyco/opentui
S220,d42e6ceb,https://github.com/anomalyco/opentui/commit/d42e6cebf3564f12a43b409e57d644d984ebb628,2026-09-13,anomalyco/opentui
S221,29ecec38,https://github.com/anomalyco/opentui/commit/29ecec38059b96fb94556e0ead1ed15ee3482b24,2026-09-13,anomalyco/opentui
S222,ff824140,https://github.com/anomalyco/opentui/commit/ff8241406b908b2566bc556c710b2c054a2e8642,2026-09-13,anomalyco/opentui
S223,6725f4a1,https://github.com/anomalyco/opentui/commit/6725f4a1e9733ef6d9c16612dc8a00b75a6b87d1,2026-09-13,anomalyco/opentui
S224,Actions run 30765499637,https://github.com/anomalyco/opentui/actions/runs/30765499637,2026-09-13,anomalyco/opentui
S225,OpenHands discussions,https://github.com/OpenHands/OpenHands/discussions,2026-09-13,OpenHands/OpenHands
S226,OpenCode issues,https://github.com/anomalyco/opencode/issues,2026-09-13,anomalyco/opencode
S227,LiteLLM issues,https://github.com/BerriAI/litellm/issues,2026-09-13,BerriAI/litellm
